Línea;Codigo;Descripción;Nivel
QUALA;1801;NUTRIBELA TR REPOLARIZACIÓN*24ML *12UNDS;2
QUALA;1802;FRUTINO 2L FRESA* 10;2
QUALA;1803;FRUTINO 2L LIMON *10;2
QUALA;1804;FRUTINO 2L LULO*10;2
QUALA;1805;FRUTINO 2L MARACUYA *10;2
QUALA;1806;CEREBRIT FRESA*135GR;2
QUALA;1807;FRUTINO 2L MORA DULCE *10;2
QUALA;1808;FRUTINO 2L NARANJA *10;2
QUALA;1809;FRUTINO 2L SALPICON*10;2
QUALA;1810;FRUTINO 2L PIÑA*10;2
QUALA;1811;FRUTINO 2L UVA*10;2
QUALA;1812;FRUTINO 2L PIÑA-NAR*10;2
QUALA;1813;FRUTINO 2L MANGO*10;2
QUALA;1814;BATILADO AREQUIPE *82G;2
QUALA;1815;BATILADO FRESA *82G;2
QUALA;1816;BATICREMA *50GR;2
QUALA;1817;DONGUSTICO CHAPETA*45GR;2
QUALA;1818;GELATINA FRESA 5P;2
QUALA;1819;GELATINA CEREZA 5P;2
QUALA;1820;GELATINA FRAMBUESA 5P;2
QUALA;1821;GELATINA LIMON 5P;2
QUALA;1822;GELATINA MORA 5P;2
QUALA;1823;GELATINA NARANJA 5P;2
QUALA;1824;GELATINA PIÑA 5P;2
QUALA;1825;GELATINA FRUTOS ROJOS 5P;2
QUALA;1826;GELATINA UVA 5P;2
QUALA;1827;GELATINA MANDARINA 5P;2
QUALA;1828;GELATINA SALPICON 5P;2
QUALA;1829;GELATINA SIN SABOR *15GR;2
QUALA;1830;QUIPITOS POPS DISP *24;2
QUALA;1831;INSTACREM *175G;2
QUALA;1832;SOPERA 6P POLLO/VERDURA;2
QUALA;1833;SOPERA 6P AJIACO;2
QUALA;1834;SOPERA 6P CHAMPIÑON;2
QUALA;1835;SOPERA 6P POLLO;2
QUALA;1836;SOPERA 6P MAZORCA;2
QUALA;1837;SOPERA 6P VERDURA;2
QUALA;1839;DONA GALLINA PAG43 LLV48;2
QUALA;1840;DONA GALLINA *200;2
QUALA;1842;FAMILIA YA NARANJA *9LTS;2
QUALA;1843;GELAGUR 5P SURTIDA;2
QUALA;1844;BONICE FRESA*12;2
QUALA;1845;BOKA 2L FRESA *10;2
QUALA;1846;BOKA 2L MARACUYA *10;2
UNILEVER;1847;SAVITAL DESODO BARRA MANZANILLA*45GR;2
QUALA;1848;BOKA 2L NARANJA *10;2
QUALA;1849;TRIFOGON DISPLEY *12;2
UNILEVER;1850;SAVITAL SH MULTIVIT*100ML;2
QUALA;1852;TRISASON *12;2
QUALA;1853;NUTRIBELA TR REPOLARIZACION SOBRE *70ML;2
QUALA;1855;FRUTINO 2L FRU ROJOS*10;2
UNILEVER;1856;SAVITAL SH MULTIVITAM*350ML;2
UNILEVER;1860;BIO AC GUSANO *350ML;2
UNILEVER;1862;AROMATEL FLORAL*180ML;2
UNILEVER;1863;AROMATEL MANZANA *180ML;2
UNILEVER;1865;EGO GEL EXTREM MAX  *15;2
UNILEVER;1866;EGO GEL MAX EXTREM *110;2
QUALA;1868;SOPERA 6P SANCOCHO;2
QUALA;1869;BOKA 2 LT MELON *10;2
QUALA;1871;OF 12 SAVILOE *420ML 12% DCTO;2
QUALA;1875;RICOSTILLA DESMENUZ PAG30 LLV36 UN;2
QUALA;1877;RICOSTILLA CUBO PG53 LLV60;2
QUALA;1878;RICOSTILLA  PAG220 LLV240;2
UNILEVER;1879;BIO SH GUSANO *350;2
QUALA;1880;DONA GALLINA *8;2
QUALA;1881;DONA GALLINA *12;2
QUALA;1882;TRIFOGON CHAPETA *60GR;2
QUALA;1883;AJO CHAPETA *58GR;2
QUALA;1885;COLOR CHAPETA *58G;2
QUALA;1886;COLOR *24;2
QUALA;1887;TRIFOGON *24;2
QUALA;1888;VIVE 100 ACAI *380*6UNDS;1,1
QUALA;1889;RICOSTILLA *8;2
QUALA;1890;RICOSTILLA *12;2
QUALA;1891;SUNTEA DURAZNO *4.5L;2
QUALA;1892;SUNTEA LIMON *4.5L;2
QUALA;1893;SUNTEA DURAZNO *9L;2
QUALA;1894;SUNTEA LIMON *9L;2
UNILEVER;1897;SAVITAL SH COLAGENO *550;2
UNILEVER;1898;EGO GEL EXTREME MAX *10;2
QUALA;1899;ACTIVADE MANDARINA *5 UNI;2
AZULK SA;1901;SUPER RIEL*400 GR;1,3
AZULK SA;1902;SUPER RIEL *200GR;1,3
AZULK SA;1903;JB AZUL EXTRA PODER*240GR*3 UND;1,3
AZULK SA;1904;LE FRAGANCE SURT 100GR72U;1,3
AZULK SA;1906;CREMA LAVALOZA LIMON*220GR;1,3
AZULK SA;1907;SOFTKLEAN FLORES *1600ML;1,3
AZULK SA;1908;BLANCOAZULK BRISAFLOR* 400GR;1,3
AZULK SA;1911;COCO PRENDAS DELICADAS*3*180GR;1,3
AZULK SA;1912;COCO BEBE*3*180 GR;1,3
AZULK SA;1913;LAK SENSACIONES*4*115GR;1,3
AZULK SA;1914;LE FRAGANCE FLORAL*100GR *3UN;1,3
AZULK SA;1917;LAK ANTIBACTERIAL ALOE VERA *3UN*115GR;1,3
AZULK SA;1919;CAREY HUMENTANTE*3*110GR;1,3
AZULK SA;1920;DETERK 4K ANTIBACT*450GR;1,3
AZULK SA;1921;CAREY SUAVIDAD MAGICA*3*110GR;1,3
AZULK SA;1922;DETERK 4K ANTIBACT+BICARBONAT*950GR;1,3
AZULK SA;1923;DETERK 4K ANTIBACT+BICARBONAT*2850GR;1,3
AZULK SA;1924;LAK PROTECCION FRESCA*115GR *3UNDS;1,3
AZULK SA;1925;AZULKLEAN LAVANDA*200ML DOYPACK;1,3
AZULK SA;1929;LAK FRUTOS ROJOS*115GR*3UNDS;1,3
AZULK SA;1932;DETERK 4K ANTIBACTERIAL*1900GR;1,3
AZULK SA;1933;AZULKLEAN BEBE*200ML DOYPACK;1,3
AZULK SA;1934;AZULKLEAN LAVANDA*500ML DOYPACK;1,3
AZULK SA;1935;AK-1 CON BARRA*900GR;1,3
AZULK SA;1936;AK-1 CON BARRA*3000GR VALVULA;1,3
AZULK SA;1937;AK-1 MANZAN*3000GR VALVULA;1,3
AZULK SA;1938;AZULKLEAN BEBE *500ML DOYPACK;1,3
AZULK SA;1941;AZKLEAN ORQUIDEA*950CM;1,3
AZULK SA;1942;AZKLEAN VAINILLA*950CM;1,3
AZULK SA;1944;AZKLEAN BEBE *950CM;1,3
AZULK SA;1945;AK-1 DETERG CON PODER BARRA*180G;1,3
AZULK SA;1946;AK-1 DETERG FLORAL*450 G;1,3
AZULK SA;1947;AK-1 DETERG FLORAL *900G;1,3
AZULK SA;1948;AK-1 MANZANA*900G;1,3
AZULK SA;1950;LE FRAGANCE FLORAL*100GR;1,3
AZULK SA;1951;AK-1 DETERG CON PODER BARRA*1450GR;1,3
AZULK SA;1952;AK-1 MANZANA*450G;1,3
AZULK SA;1953;AK-1 DETERG CON PODER BARRA*450G;1,3
AZULK SA;1954;AK LAVALIQ LIM&ALOE VERA*750ML;1,3
AZULK SA;1955;DETERK 4K FLORAL*200GR;1,3
AZULK SA;1958;DETERK FLORAL *2850GR;1,3
AZULK SA;1959;DETERK FLORAL*450GR;1,3
AZULK SA;1960;DETERK FLORAL *950GR;1,3
AZULK SA;1961;DETERK FLORAL *1900GR;1,3
AZULK SA;1963;SOFTKLEAN FLORES *450ML DOYPACK;1,3
AZULK SA;1967;LAK LIQ ALMENDRA*500ML DOYPACK;1,3
AZULK SA;1971;AZULKLEAN ORQUIDEAS EXOT*500ML DOYPACK;1,3
AZULK SA;1972;AZULKLEAN BRISA MAR*500ML DOYPACK;1,3
AZULK SA;1973;AZULKLEAN VAINILLA Y BAMB *500ML DOYPACK;1,3
AZULK SA;1974;AZULKLEAN BRISA DEL MAR*200ML DOYPACK;1,3
AZULK SA;1975;AZULKLEAN BRISA DELMAR*2000ML;1,3
AZULK SA;1976;AZULKLEAN LAVANDA*2000ML;1,3
AZULK SA;1977;OF AZULKLEAN LAVANDA*950 GTIS 150CM;1,3
AZULK SA;1979;AK LAVALIQ MANZANA VERDE*750ML;1,3
AZULK SA;1980;AK LAVALIQ LIM&ALO*400ML TARRO;1,3
AZULK SA;1983;CAREY CREMOSO COCO *110GR *3;1,3
AZULK SA;1985;AZULKLEAN BEBE*2000ML;1,3
AZULK SA;1986;OF CREMA LAVA-LIMON *500GR*2UNDS P.E;1,3
AZULK SA;1989;CREMA LAVALOZA MANZANA *220GR;1,3
AZULK SA;1990;OF CREMA LAVA MANZANA*500GR*2UND P.E.;1,3
AZULK SA;1992;DET LIQUIDO AK1 900ML DOYPACK;1,3
AZULK SA;1993;DET LIQUIDO AK1 300ML DOYPACK;1,3
AZULK SA;1994;DET LIQ AK1 *1800ML DOYPACK;1,3
AZULK SA;1995;SUPER RIEL*280GR PACK*3UNDS;1,3
PAPELES NACIONALES SA;2040;PAPEL HIGIENICO ROSAL XXG UNIDAD;3
J&J DE COLOMBIA SA;2102;JABON ADULTO SIXPACK STDO*6*110G;3
J&J DE COLOMBIA SA;2103;TALCO BABY ORIGINAL *100;3
J&J DE COLOMBIA SA;2104;STAYFREE ADAPT NOCH DIA PLUS C/A*8UN;3
J&J DE COLOMBIA SA;2107;LISTERINE COOL *180ML;3
J&J DE COLOMBIA SA;2108;STAYFREE NORMAL*12 PAG7LLV10;3
J&J DE COLOMBIA SA;2109;STAYFREE ULTRADELGADA *42;3
J&J DE COLOMBIA SA;2110;STAYFREE NORMAL *42UN;3
J&J DE COLOMBIA SA;2112;STAYFREE NORMAL C/A *84 P. ESP;3
J&J DE COLOMBIA SA;2113;PROT CAREFREE ORIG CON PROTECC *15UN;3
J&J DE COLOMBIA SA;2115;PROT CAREFREE SIN PERFUM*15UN;3
J&J DE COLOMBIA SA;2117;STAYFREE NORMAL PAQUETE*12UND;3
J&J DE COLOMBIA SA;2120;SH J&J BABY ORIGINAL DISPL*12*25ML;3
J&J DE COLOMBIA SA;2121;SH J&J BABY MANZANILLA DISP*12*25ML;3
J&J DE COLOMBIA SA;2122;SH J&J BABY MANZANILLA*100 ML;3
J&J DE COLOMBIA SA;2123;SH J&J BABY ORIGINAL *100 ML;3
J&J DE COLOMBIA SA;2124;SH J&J BABY CABELLO OSCURO*100 ML;3
J&J DE COLOMBIA SA;2125;JABON BABY AVENA *110*3 UN;3
J&J DE COLOMBIA SA;2126;JABON BABY ORIGINAL *110 *3 UN;3
J&J DE COLOMBIA SA;2130;ACEITE J&J ORIGINAL*50ML;3
J&J DE COLOMBIA SA;2131;STAYFREE ULTRADEGADA *84 P.ESP;3
J&J DE COLOMBIA SA;2132;ACEITE J&J ORIGINAL*100ML;3
J&J DE COLOMBIA SA;2135;JABON ADULTO ORIG 110*3 UN;3
J&J DE COLOMBIA SA;2137;JABON ADULTO AVENA *110*3UN;3
J&J DE COLOMBIA SA;2140;LUBRIDERM EXTRA HUMENTANTE*120ML;3
J&J DE COLOMBIA SA;2141;LUBRIDERM PROTECCION SOLAR*120ML;3
J&J DE COLOMBIA SA;2142;JABON NEKO BLANCO *125G;3
J&J DE COLOMBIA SA;2143;JABON NEKO EXTRAPROTEC *125 GR;3
J&J DE COLOMBIA SA;2144;JABON NEKO AVENA * 125G;3
J&J DE COLOMBIA SA;2146;JABON BABY LIBRE DE GERM*110GR *3UND;3
J&J DE COLOMBIA SA;2147;SINUTAB PLUS *12 TABLETAS;3
J&J DE COLOMBIA SA;2148;PROT CAREFREE SIN PERFUM*150UN+1PROTEC*15 SIN PERF;3
J&J DE COLOMBIA SA;2149;PROT CAREFREE PROTECC*150UN+1PROTEC*15;3
J&J DE COLOMBIA SA;2151;STAYFREE ADAT ULTRADELGADA *12 UND;3
J&J DE COLOMBIA SA;2152;JBABY BANO LIQUI SACH*12SOB*25ML;3
J&J DE COLOMBIA SA;2153;CREMA BABY HIDRATAN SACHET*25ML *12;3
J&J DE COLOMBIA SA;2154;JABON ADULTO SURTI*12 UN PACK 1 PREC. ESP;3
J&J DE COLOMBIA SA;2158;LISTERINE COOLMINT ZERO*180ML;3
J&J DE COLOMBIA SA;2172;OF PROTECTOR ORIGINAL*15 PG6 LL7;3
J&J DE COLOMBIA SA;2177;OB ORIGINAL SUPER*8;3
J&J DE COLOMBIA SA;2180;OF OB DIGITAL MEDIO*8 PG3LL4;3
J&J DE COLOMBIA SA;2181;OF OB DIGITAL SUPER*8 PG3LLE4;3
J&J DE COLOMBIA SA;2187;OF PROTECTOR SIN PERFUME*15 PG 6 LL7;3
J&J DE COLOMBIA SA;2191;COPITOS J&J *75 P-ESP;3
J&J DE COLOMBIA SA;2194;CREMA LIQUIDA *100ML;3
J&J DE COLOMBIA SA;2196;STAYFREE NORMAL C/A*12*7 PR. ESP;3
J&J DE COLOMBIA SA;2197;STAYFREE ULTRADELGADA*12 PAG7LLV10;3
SIGRA SA;2207;MARGARINA CHEFF*250GR;1,3
SIGRA SA;2208;MARGARINA CHEFF 125GR *8;1,3
SIGRA SA;2209;MARGARINA CHEFF 125GR *16;1,3
PAPELES NACIONALES SA;2404;PH SUAVE GOLD 34MM *4UNDS;3
PAPELES NACIONALES SA;2406;PH ROSAL XXG SR *6 OFERTA;
PAPELES NACIONALES SA;2408;PH ROSAL XXG*12 SIN EMPAQUE;
PAPELES NACIONALES SA;2409;SERV FAVORITA 1A1 PART*150;
PAPELES NACIONALES SA;2411;SERV FAVORITA PARTIDA *320;
PAPELES NACIONALES SA;2414;TOALLA ROSAL *80 HOJ;
PAPELES NACIONALES SA;2415;TOALLA FAVORITA *45HOJ;
PAPELES NACIONALES SA;2416;TOALLA FAVORITA 45H*3ROLLOS;
PAPELES NACIONALES SA;2417;PH ROSAL XXG *12UN;
PAPELES NACIONALES SA;2418;FACIAL S.GOLD BOLSILLO DISP*10;
PAPELES NACIONALES SA;2419;PH ROSAL G 2EN1 *18 UN;
PAPELES NACIONALES SA;2424;PH ROSAL XXG PAG12 LLEV13;
PAPELES NACIONALES SA;2425;PAPEL HIGUIENICO ROSAL G 2EN1 UNIDAD;
PAPELES NACIONALES SA;2426;SERV ROSAL DOBLADA  EN 4*100;
PAPELES NACIONALES SA;2427;PANAL RELY ADVANCED M*20UNDS;
PAPELES NACIONALES SA;2432;PH ROSAL XXG *4;
PAPELES NACIONALES SA;2434;TOALLA FAVORITA X 90 HOJ P.E.;
PAPELES NACIONALES SA;2435;PANAL RELY COMFORT M*20UND;
PAPELES NACIONALES SA;2436;PANAL RELY COMFORT L*20 UND;
PAPELES NACIONALES SA;2437;PANAL RELY COMFORT M *8UNDS;
PAPELES NACIONALES SA;2438;PANAL RELY COMFORT L*8UN;
PAPELES NACIONALES SA;2439;PANAL RELY ADVANCED M *8UNDS;
PAPELES NACIONALES SA;2440;PANAL RELY ADVANCED G *8UNDS;
PAPELES NACIONALES SA;2441;PH ROSAL G 2EN1 PAG18 LLV19;
PAPELES NACIONALES SA;2443;FACIAL GOLD BOL 4*10 PAÑUELOS P.E;
PAPELES NACIONALES SA;2448;TOALLA FEM SUAVE AC NOCTURNA CON ALAS*8;
PAPELES NACIONALES SA;2449;TOALLA FEM SUAVE AC DELGADA CON ALAS*10;
PAPELES NACIONALES SA;2452;OF TOALLA ROSAL*80 HOJ PG5 LLV6;
PAPELES NACIONALES SA;2455;OF TOALLA FEM SUAVE AC DELGADA CON ALAS*10 PG4 LLV5;
PAPELES NACIONALES SA;2456;OF TOALLA FEM SUAVE AC NOCTURNA CON ALAS*8 PG4 LLV5;
PAPELES NACIONALES SA;2457;PROT DIARIO SUAVE SIN ALAS*15;
PAPELES NACIONALES SA;2458;OF TOALLA ROSAL*80 HOJ PG4 LLV5;
PAPELES NACIONALES SA;2459;OF SERV ROSAL DOB  EN 4*100 PG 3 LLV4;
PAPELES NACIONALES SA;2460;OF 1 FACIAL S.GOLD BOLS*10 GTS 1 PH ROSAL XXG UND;
PAPELES NACIONALES SA;2461;OF PROT DIARIO SUAVE SIN ALAS*15 PG4 LLV5;
LEVAPAN;2601;LEVADURA SECA *24*7GR;
LEVAPAN;2602;NECTAR DURAZNO *220 CM3;
LEVAPAN;2603;NECTAR PERA *220CM3;
LEVAPAN;2604;NECTAR MANZANA *220 CM3;
LEVAPAN;2605;COMPOTA MANZANA*113G;
LEVAPAN;2606;COMPOTA MELOCOTON *113G;
LEVAPAN;2607;COMPOTA GUAYABA *113GR;
LEVAPAN;2608;COMPOTAS FRUTAS MIXTAS*113GR;
LEVAPAN;2609;COMPOTA CIRUELAS PASAS *113GR;
LEVAPAN;2610;COMPOTA MANGO *113GR;
LEVAPAN;2611;COMPOTA PERA *113GR;
LEVAPAN;2612;ESENCIA BANANO PET*60CM3;
LEVAPAN;2613;ESENCIA CANELA PET*60CM3;
LEVAPAN;2614;ESENCIA COCO PET *60CM3;
LEVAPAN;2615;ESENCIA VAINILLA BLANCA PET* 60CM3;
LEVAPAN;2616;ESENCIA VAINILLA CARAMELO *60CM3;
LEVAPAN;2617;POLVO PARA HORNEAR *20GR;3
LEVAPAN;2618;MERMELADA FRESA DOYPACK*200GR;
LEVAPAN;2620;MAYONESA DOYPACK*170GR;
LEVAPAN;2621;MAIZ TIERNO *300GR;
LEVAPAN;2622;MAIZ TIERNO * 190GR;
LEVAPAN;2628;SALSA ROSADA DOYPACK *200GR;
LEVAPAN;2629;SALSA ROSADA SACHET*12*90GR;
LEVAPAN;2630;SALSA BAR B-QSACHET*12*90GR;
LEVAPAN;2631;SALSA AJI *155CM3 PET;
LEVAPAN;2632;SALSA PARA CARNES *155CM3 PET;
LEVAPAN;2633;SALSA DE SOYA 155CM3 PET;
LEVAPAN;2634;SALSA INGLESA *155CM3 PET;
LEVAPAN;2635;SALSA NEGRA 155CM3;
LEVAPAN;2636;SALSA BAR B-Q DOYPACK *200GR;
LEVAPAN;2637;VINAGRE BLANCO *250CM3;
LEVAPAN;2638;MERMELADA DURAZNO DOYPACK*200GR;
LEVAPAN;2640;MERMELADA MORA DOYPACK*200GR;
LEVAPAN;2641;MERMELADA NARANJA DOYPACK*200GR;
LEVAPAN;2642;MERMELADA PIÑA DOYPACK*200GR;
LEVAPAN;2643;MERMELADA SURT SACHET*8*90GR;
LEVAPAN;2644;DISP.COMPOTAS SURT *12*113GR;
LEVAPAN;2645;PUDIN GELHADA AREQUIPE*85GR;
LEVAPAN;2649;SALSA DE AJO SACHET*48 *7CM3;
LEVAPAN;2650;VINAGRE FRUTAS *250CM3;
LEVAPAN;2651;MOSTAZA DOY PACK *200GR;
LEVAPAN;2652;NECTAR PERA PET*250CM3;
LEVAPAN;2653;NECTAR DURAZNO PET*250CM3;
LEVAPAN;2654;NECTAR MANZANA PET *250CM3;
LEVAPAN;2656;ARVEJA ZANAHORIA *300 G;
LEVAPAN;2658;MAYONESA *1000GR;
LEVAPAN;2659;ARVEJA SABANERA *180G;
LEVAPAN;2660;ARVEJA SABANERA *300G;
LEVAPAN;2661;ARVEJA ZANAHORIA *180G;
LEVAPAN;2662;SALSA DE SOYA S/J *90;
LEVAPAN;2663;SALSA PARA CARNES S/J *90 PET;
LEVAPAN;2664;SALSA NEGRA S/J *90;
LEVAPAN;2665;SALSA DE AJI S/J *90;
LEVAPAN;2667;SALSA INGLESA S/J *90;
LEVAPAN;2668;VINAGRE BLANCO *500;
LEVAPAN;2669;MOSTAZA ADEREZO DOYPACK*110GR;
LEVAPAN;2672;GELATINA GELHADA SIN SABOR*30GR;
LEVAPAN;2673;COLADA VAINILLA DISP*12 *30GR;
LEVAPAN;2674;COLADA FRESA DISPL*12 *30GR;
LEVAPAN;2676;PUDIN GELHADA CHOCOLATE*100GR;
LEVAPAN;2677;FLAN GELHADA LECHE*60GR;
LEVAPAN;2678;GELATINA GELHADA FRESA *35GR;
LEVAPAN;2679;GELATINA GELHADA CEREZA*35GR;
LEVAPAN;2680;GELATINA GELHADA FRAMBUESA*35GR;
LEVAPAN;2681;GELATINA GELHADA MORA*35GR;
LEVAPAN;2682;GELATINA GELHADA PINA*35GR;
LEVAPAN;2683;GELATINA GELHADA LIMON*35GR;
LEVAPAN;2684;GELATINA GELHADA NARANJA*40GR;
LEVAPAN;2685;GELATINA GELHADA UVA* 40GR;
LEVAPAN;2686;GELATINA GELHADA FR ROJOS *40GR;
LEVAPAN;2687;GELATINA GELHADA PACX*3 UNDS SURTIDA;
LEVAPAN;2688;SALSITA NEGRA DOYPACK*110ML;
LEVAPAN;2689;FLAN GELHADA PINA*60GR;
LEVAPAN;2690;SALSA TOMATE DOYPACK*400GR;
LEVAPAN;2692;MAYONESA *380GR;
LEVAPAN;2693;SALSA DE AJO DOYPACK *110GR;
LEVAPAN;2694;FLAN GEL HADA FRESA*60GR;
LEVAPAN;2695;SALSA TOMATE*85GR *12UNDS;
LEVAPAN;2696;MAYONESA*85GR DISPLEY*12UNDS;
LEVAPAN;2697;PUDIN GELHADA CARAMELO*100GR;
LEVAPAN;2698;PUDIN GELHADA VAINILLA *85GR;
LEVAPAN;2699;SALSA DE TOMATE*1000GR;
HENKEL COLOMBIANA SAS;2903;KONZIL SH SEDA LIQ VIT12*18 SOB;
HENKEL COLOMBIANA SAS;2904;KONZIL CP SEDA LIQ PROVIT B5 *18SOB;
HENKEL COLOMBIANA SAS;2905;KONZIL CP AC ALMENDRAS+VIT12*18SOB;
HENKEL COLOMBIANA SAS;2906;KONZIL AC SEDA LIQU VIT12 *18SOB;
HENKEL COLOMBIANA SAS;2907;BALANCE GEL HOMBRE CLINIC PROT*18 SOB;
HENKEL COLOMBIANA SAS;2908;BALANCE GEL MUJER CLINIC*18SOB;
HENKEL COLOMBIANA SAS;2909;BALANCE CR HOMBR CLINIC*18 SOB;
HENKEL COLOMBIANA SAS;2910;BALANCE CR MUJER CLINIC*18 SOB;
HENKEL COLOMBIANA SAS;2911;BALANCE CR NORMAL 16 DUOS SOB;
HENKEL COLOMBIANA SAS;2916;OF 2 CR KONZIL RIZOS ACEI ALMENDR*230ML;
HENKEL COLOMBIANA SAS;2918;GEL EXTREM PROFESSIONAL*100GR POTE T.AZUL;
HENKEL COLOMBIANA SAS;2919;PALETTE 1-0 NEGRO TUBO*50GR;
HENKEL COLOMBIANA SAS;2920;PALETTE 1-1 NEGRO AZUL TUBO*50GR;
HENKEL COLOMBIANA SAS;2921;PALETTE 3-0 CASTANO OSCURO TUBO*50GR;
HENKEL COLOMBIANA SAS;2922;PALETTE 4-0 CASTANO MEDIO TUBO*50GR;
HENKEL COLOMBIANA SAS;2923;PALETTE 4-88 CASTANO ROJIZO TUBO*50GR;
HENKEL COLOMBIANA SAS;2924;PALETTE 5-0 CASTANO CLARO TUBO*50GR;
HENKEL COLOMBIANA SAS;2925;PALETTE 5-68 CHOCOLATE TUBO*50GR;
HENKEL COLOMBIANA SAS;2926;PALETTE 6-0 RUBIO OSCURO TUBO*50GR;
HENKEL COLOMBIANA SAS;2927;PALETTE 6-60 CHOCOLATE ORO TUBO*50GR;
HENKEL COLOMBIANA SAS;2928;PALETTE 6-68 CHOCOLATE CLARO TUBO*50GR;
HENKEL COLOMBIANA SAS;2929;PALETTE 6-99 VIOLETA PROFUNDO TUBO*50GR;
HENKEL COLOMBIANA SAS;2930;PALETTE 7-0 RUBIO MEDIO TUBO*50GR;
HENKEL COLOMBIANA SAS;2931;PALETTE 9-1 RUBIO EXT CLARO CENIZO TUBO*50GR;
HENKEL COLOMBIANA SAS;2932;PALETTE 8-1 RUBIO CLARO CENIZO TUBO*50GR;
HENKEL COLOMBIANA SAS;2933;PALETTE 8-0 RUBIO CLARO TUBO*50GR;
HENKEL COLOMBIANA SAS;2934;PALETTE 7-1 RUBIO MEDIO CENIZO TUBO*50GR;
HENKEL COLOMBIANA SAS;2935;GEL EXTREM PROFESSIONAL*100GR*6 UNDS P.E. T.VERDE;
HENKEL COLOMBIANA SAS;2936;BALANCE PACK CRM 2CARE+1PROTECTION;
HENKEL COLOMBIANA SAS;2941;KONZIL SEDA LIQU SH*18+CP*18+AC*18 *25ML;
HENKEL COLOMBIANA SAS;2943;BALANCE CLINIC CREM CARE MUJ*50GR;
HENKEL COLOMBIANA SAS;2944;BALANCE CLINIC PROTEC HOM*50GR;
HENKEL COLOMBIANA SAS;2945;2 SH SYOSS ANTICASPA *500ML P.E.;
HENKEL COLOMBIANA SAS;2946;2 BALANCE CREMA MEN DRY POTE*100GR P.E;
HENKEL COLOMBIANA SAS;2947;2 BALANCE CR MEN ULTRAPROTECC*100GR P.E;
HENKEL COLOMBIANA SAS;2949;2 BALANCE CR MUJER ULTRAPROTEC POT*100GR P.E;
HENKEL COLOMBIANA SAS;2951;2 BALANCE HOMB ROLL-ON INVISIBL*50ML;
HENKEL COLOMBIANA SAS;2953;KONZIL TRATAM REPAR 1MIN*27ML*18SOB;
HENKEL COLOMBIANA SAS;2958;KONZIL CP RIZOS ACEITE DE ALMEN*230ML;
HENKEL COLOMBIANA SAS;2959;KONZIL AC SEDA LIQ+PROVIT12*375ML;
HENKEL COLOMBIANA SAS;2960;KONZIL SH SEDA LIQ VIT12*375ML;
HENKEL COLOMBIANA SAS;2961;KONZIL SH*375+AC*200+CP*230 SEDA LIQ PROVITB5;
HENKEL COLOMBIANA SAS;2962;OF 2 CR KONZIL*230ML SEDA LIQUIDA;
HENKEL COLOMBIANA SAS;2963;BALANCE CLI MINI PROTEC MEN*32GR;
HENKEL COLOMBIANA SAS;2964;BALANCE CLI MINI CARE WOMEN*32GR;
HENKEL COLOMBIANA SAS;2967;KONZIL SH SEDA LIQUID*375ML +AC*375 P.E.;
HENKEL COLOMBIANA SAS;2970;PALETTE 4-89 BORGONA INTENSO*50GR;
HENKEL COLOMBIANA SAS;2972;PALETTE 5-57 CHOCOLATE MACADAMIA*50GR;
HENKEL COLOMBIANA SAS;2973;PALETTE 3-68 CHOCOLATE PROFUNDO*50GR;
HENKEL COLOMBIANA SAS;2974;PALETTE 5-80 CHOCOLATE CEREZA*50GR;
HENKEL COLOMBIANA SAS;2975;PALETTE 6-88 RUBI* 50GR;
HENKEL COLOMBIANA SAS;2977;2 BALANCE MUJER AEROSOL ACLARA*160ML P.E.;
HENKEL COLOMBIANA SAS;2979;PALETTE 10-1 RUBIO PLATA CENIZO;
HENKEL COLOMBIANA SAS;2980;KONZIL SH ULTRAREPARACION*20ML DISP*18 SOBRES;
HENKEL COLOMBIANA SAS;2981;2 BALANCE MEN AEROSOL INVISIBLE*160ML;
HENKEL COLOMBIANA SAS;2984;BALANCE CLINIC CR NORMAL MINI*32GR;
HENKEL COLOMBIANA SAS;2985;BALANCE CLINIC CR INVISIBLE*MINI*32GR;
HENKEL COLOMBIANA SAS;2986;KONZIL SH OLEO COCO*25ML*18SOB;
HENKEL COLOMBIANA SAS;2987;KONZIL AC OLEO COCO*25ML*18SOB;
HENKEL COLOMBIANA SAS;2989;PALETTE CC 72C RUBIO CENIZO TUB+OXIG;
HENKEL COLOMBIANA SAS;2993;IG BLONDE SACH 25GR DISP*12;
HENKEL COLOMBIANA SAS;2994;IG VIT 1-1 TUBO-NEGRO AZUL;
HENKEL COLOMBIANA SAS;2995;IG VIT 6-888 TUBO-RUBI APASIONADO;
HENKEL COLOMBIANA SAS;2996;IG VIT 6-68 TUBO-CHOCOLATE;
HENKEL COLOMBIANA SAS;2997;IG VIT 1-0 TUBO-NEGRO;
HENKEL COLOMBIANA SAS;2998;IG VIT 6-88 TUBO-RUBI;
ALIMENTOS POLAR COLOMBIA;3001;PAN HARINA MAIZ BLANCA*1000GR;
ALIMENTOS POLAR COLOMBIA;3002;PAN HARINA MAIZ BLANCA*500GR;
ALIMENTOS POLAR COLOMBIA;3003;PROMASA AMARILLA *1000GR;
ALIMENTOS POLAR COLOMBIA;3004;PROMASA AMARILLA *500GR;
ALIMENTOS POLAR COLOMBIA;3005;PROMASA BLANCA *1000GR;
